zipcode;lat;long;month;price;floors;bedrooms;bathrooms;sqft_lot;sqft_living;basement;sqft_basement;sqft_above;yr_built;renovated;yr_renovated;condition;view;waterfront;grade
98001;47.2576;-122.255;2014-09;227000;2.0;Three;Two;9837;1510;False;;1510;1989;False;;3;0;False;7
98001;47.258;-122.252;2014-10;160000;2.0;Three;Two;8006;1370;False;;1370;1990;False;;3;0;False;7
98001;47.2587;-122.253;2015-02;212000;1.0;Three;Two;8350;1470;False;;1470;1990;False;;3;0;False;7
98001;47.2589;-122.279;2014-06;220000;2.0;Three;Two;15600;1660;False;;1660;1981;False;;3;0;False;7
98001;47.2589;-122.256;2015-01;250000;2.0;Three;Three;6351;1750;False;;1750;2012;False;;3;0;False;7
98001;47.259;-122.256;2015-01;255000;2.0;Four;Three;6724;1660;False;;1660;2009;False;;3;0;False;7
98001;47.2592;-122.291;2015-04;289000;1.0;Two;Two;52333;2056;True;1008.0;1048;1980;False;;4;0;False;7
98001;47.2598;-122.281;2015-03;225000;1.0;Three;Two;14400;1580;False;;1580;1981;False;;4;0;False;7
98001;47.2598;-122.281;2014-09;270000;1.0;Three;Three;19200;1808;False;;1808;2005;False;;3;0;False;8
98001;47.2599;-122.283;2014-05;329995;2.0;Four;Three;3680;2303;False;;2303;2013;False;;3;0;False;8
98001;47.2599;-122.256;2015-03;317500;2.0;Four;Three;6025;2233;False;;2233;2012;False;;3;0;False;7
98001;47.2601;-122.286;2014-12;250000;2.0;Four;Three;6643;1830;False;;1830;2001;False;;3;0;False;8
98001;47.2602;-122.284;2014-06;309000;2.0;Five or more;Three;4045;2481;False;;2481;2014;False;;3;0;False;8
98001;47.2602;-122.252;2014-09;280000;2.0;Four;Three;5677;1934;False;;1934;2013;False;;3;0;False;8
98001;47.2602;-122.246;2014-10;274900;2.0;Three;Two;6612;1936;False;;1936;2014;False;;3;0;False;7
98001;47.2606;-122.285;2015-02;299000;2.0;Four;Three;6078;2400;False;;2400;2001;False;;3;0;False;8
98001;47.2606;-122.254;2015-01;269950;2.0;Three;Three;4079;2244;False;;2244;2012;False;;3;0;False;7
98001;47.2606;-122.253;2015-01;235245;2.0;Four;Three;5075;1954;False;;1954;2007;False;;3;0;False;8
98001;47.2607;-122.25;2015-04;205000;2.0;Four;Three;4500;1767;False;;1767;2006;False;;3;0;False;8
98001;47.2609;-122.289;2014-12;355000;2.0;Four;Three;7213;2590;False;;2590;2001;False;;3;0;False;8
98001;47.2609;-122.27;2014-08;515000;2.0;Three;Three;48993;3430;False;;3430;2001;False;;3;0;False;9
98001;47.2613;-122.255;2014-09;227950;1.0;Three;Two;8230;1670;False;;1670;1954;False;;5;0;False;7
98001;47.2613;-122.248;2014-11;215500;2.0;Three;Two;9000;1380;False;;1380;1946;True;1982.0;2;0;False;7
98001;47.2614;-122.29;2014-10;340000;2.0;Four;Three;7555;2550;False;;2550;2001;False;;3;0;False;8
98001;47.2615;-122.252;2014-12;270500;2.0;Five or more;Three;7093;2406;False;;2406;2006;False;;3;0;False;8
98001;47.2616;-122.281;2014-08;255000;1.0;Three;One;12000;1710;False;;1710;1972;False;;4;0;False;7
98001;47.2616;-122.251;2014-07;174000;1.0;Two;One;13531;900;False;;900;1979;False;;3;0;False;6
98001;47.2619;-122.271;2014-12;460000;2.0;Three;Three;40813;2720;False;;2720;2001;False;;3;0;False;8
98001;47.2622;-122.282;2015-03;210500;1.0;Three;One;9600;1220;False;;1220;1958;False;;5;0;False;7
98001;47.2629;-122.275;2014-05;172500;1.0;Three;One;8800;1140;False;;1140;1972;False;;3;0;False;7
98001;47.263;-122.242;2014-08;234000;1.0;Four;Three;8217;1820;True;700.0;1120;1987;False;;3;0;False;7
98001;47.2633;-122.281;2014-09;240000;1.0;Four;Two;9600;1880;True;860.0;1020;1946;False;;5;0;False;7
98001;47.2633;-122.245;2014-09;201000;1.0;Three;One;22443;1220;False;;1220;1972;False;;4;0;False;7
98001;47.2633;-122.244;2014-10;194250;1.0;Three;Two;8834;2190;True;800.0;1390;1987;False;;3;0;False;7
98001;47.2634;-122.289;2014-12;258000;1.5;Three;Two;7879;1790;False;;1790;1998;False;;3;0;False;7
98001;47.2635;-122.284;2015-01;276000;1.0;Three;Two;9200;2240;True;800.0;1440;1968;False;;4;0;False;7
98001;47.2638;-122.243;2014-05;260000;1.0;Three;Two;8018;1630;False;;1630;2003;False;;3;0;False;7
98001;47.2639;-122.285;2014-07;250000;1.0;Three;Two;14400;2030;True;720.0;1310;1969;False;;4;0;False;7
98001;47.2639;-122.252;2014-07;230000;1.0;Three;Two;11204;1450;False;;1450;2003;False;;3;0;False;7
98001;47.264;-122.258;2015-03;124500;1.0;Two;One;6480;840;False;;840;1954;False;;4;0;False;5
98001;47.2642;-122.258;2015-05;171500;1.5;Three;One;6480;1150;False;;1150;1946;False;;4;0;False;5
98001;47.2649;-122.292;2014-06;335000;2.0;Four;Three;4781;2610;False;;2610;2009;False;;3;0;False;8
98001;47.2649;-122.285;2014-07;185000;1.0;Three;One;17040;1510;False;;1510;1975;False;;4;0;False;6
98001;47.2649;-122.252;2014-06;222400;1.0;Three;Two;9566;1200;False;;1200;1995;False;;3;0;False;7
98001;47.2649;-122.242;2014-07;190000;2.0;Four;Three;13493;1840;False;;1840;1994;False;;3;0;False;7
98001;47.2653;-122.285;2015-03;239950;2.0;Three;Three;4800;1560;False;;1560;1974;False;;4;0;False;7
98001;47.2655;-122.244;2015-03;110000;1.0;Two;One;4524;828;False;;828;1968;True;2007.0;3;0;False;6
98001;47.2664;-122.256;2015-02;199900;1.0;Four;Two;12000;1790;False;;1790;1944;False;;5;0;False;6
98001;47.2666;-122.254;2014-05;215000;1.0;Three;Two;8075;1210;False;;1210;1983;False;;4;0;False;6
98001;47.2668;-122.252;2014-12;230000;1.5;;Two;36509;2140;False;;2140;1903;True;1979.0;4;0;False;8
98001;47.2668;-122.231;2014-05;220000;2.0;Four;Three;8005;2160;False;;2160;1993;False;;3;0;False;7
98001;47.2669;-122.254;2015-03;204900;1.0;Three;Two;8245;1390;False;;1390;1984;False;;2;0;False;7
98001;47.267;-122.25;2014-07;249900;1.0;Three;Two;12522;2080;False;;2080;1950;False;;5;0;False;6
98001;47.2671;-122.256;2014-06;260000;2.0;Five or more;Three;7760;2025;False;;2025;2007;False;;3;0;False;7
98001;47.2671;-122.236;2014-12;225000;2.0;Three;Three;10050;1740;False;;1740;1989;False;;3;0;False;7
98001;47.2671;-122.233;2014-09;234950;1.0;Three;Two;10850;1430;False;;1430;1994;False;;3;0;False;7
98001;47.2676;-122.256;2014-07;277950;2.0;Four;Three;6000;1889;False;;1889;2012;False;;3;0;False;7
98001;47.2679;-122.255;2014-12;255000;2.0;Four;Three;6000;1987;False;;1987;2011;False;;3;0;False;7
98001;47.268;-122.245;2014-08;219000;1.0;Three;Two;12000;1200;False;;1200;1986;False;;3;0;False;7
98001;47.2681;-122.267;2015-01;305000;1.5;Two;One;186872;1960;False;;1960;1936;False;;4;0;False;6
98001;47.2685;-122.231;2015-05;238000;1.0;Two;One;8453;1088;False;;1088;1952;True;2009.0;3;0;False;6
98001;47.2689;-122.24;2015-03;245000;2.0;Four;Three;4888;1921;False;;1921;2009;False;;3;0;False;7
98001;47.2699;-122.255;2015-03;183500;1.0;Three;One;7520;1010;False;;1010;1975;False;;4;0;False;6
98001;47.2702;-122.29;2014-05;280000;1.0;Four;Two;14439;2190;True;1010.0;1180;1977;False;;4;0;False;7
98001;47.2706;-122.254;2014-12;215000;2.0;Three;Three;6006;1322;False;;1322;2009;False;;3;0;False;7
98001;47.2712;-122.265;2014-06;270000;1.0;Two;One;81021;1780;False;;1780;1954;False;;4;3;False;9
98001;47.2718;-122.291;2014-05;225000;1.0;Three;Two;24829;2030;True;810.0;1220;1979;False;;4;0;False;7
98001;47.2718;-122.265;2014-06;263400;1.0;Four;Two;60548;1360;True;400.0;960;1960;False;;3;0;False;6
